pesex,peeduca,ptdtrace,prtage,pemlr,prunedur,prmjind1,prmjocc1,prdtind1,prdtocc1
2,46,2,26,2,-1,10,1,42,1
1,40,2,32,1,-1,3,2,4,5
2,40,2,26,1,-1,8,4,33,16
1,44,4,53,1,-1,9,2,38,3
2,44,4,49,1,-1,10,2,40,8
1,39,1,56,1,-1,5,4,22,16
2,40,1,35,1,-1,10,1,43,1
1,41,1,33,1,-1,3,8,4,20
2,43,2,35,1,-1,8,1,33,2
1,39,2,37,1,-1,6,5,23,17
2,43,1,67,1,-1,5,3,22,11
1,43,1,41,1,-1,5,4,21,16
1,43,2,39,1,-1,8,1,33,2
2,42,1,40,1,-1,8,1,32,1
1,43,1,68,1,-1,9,2,36,4
2,43,1,68,1,-1,10,2,42,10
2,39,1,48,1,-1,6,5,23,17
2,39,2,43,1,-1,10,3,42,11
1,41,1,72,1,-1,10,2,40,8
2,43,1,75,1,-1,10,2,40,8
1,43,1,46,1,-1,5,4,21,16
2,43,1,52,1,-1,5,4,21,16
2,43,2,62,1,-1,10,1,41,1
1,43,1,51,1,-1,9,1,36,1
1,40,1,20,1,-1,11,1,46,1
1,46,1,72,1,-1,12,2,49,6
1,43,1,50,1,-1,13,5,51,17
2,43,1,49,1,-1,10,2,41,10
2,40,1,46,1,-1,10,2,42,10
2,43,6,27,1,-1,5,4,22,16
2,43,1,44,1,-1,10,2,40,8
1,39,1,41,1,-1,6,10,23,22
2,39,1,38,1,-1,12,3,48,15
1,39,1,31,1,-1,3,8,4,20
1,41,1,66,1,-1,11,2,44,4
2,42,1,64,1,-1,10,2,41,10
1,39,1,62,1,-1,11,10,44,22
2,42,1,23,2,-1,11,3,46,13
2,39,1,62,1,-1,6,4,24,16
1,42,1,54,1,-1,5,4,21,16
2,43,2,33,1,-1,10,2,42,10
1,42,2,37,1,-1,9,2,36,4
1,42,2,29,1,-1,8,5,33,17
2,43,2,27,1,-1,10,2,40,8
2,45,1,41,1,-1,10,2,42,10
1,41,1,55,1,-1,10,3,42,14
1,39,1,30,1,-1,11,3,46,13
2,39,1,26,1,-1,10,3,43,11
2,40,1,48,1,-1,10,5,42,17
1,39,1,48,1,-1,3,7,4,19
1,42,2,41,1,-1,9,3,38,14
1,43,2,42,1,-1,3,1,4,1
2,43,2,40,1,-1,9,5,36,17
1,41,1,37,1,-1,5,4,22,16
1,40,1,50,1,-1,8,4,34,16
2,42,1,45,1,-1,8,5,33,17
1,40,1,21,1,-1,11,3,44,14
1,31,2,16,1,-1,10,3,40,14
2,44,5,27,1,-1,10,2,40,8
2,39,2,59,1,-1,3,10,4,22
2,39,1,41,1,-1,10,3,41,11
1,39,1,51,1,-1,10,8,40,20
1,43,1,62,1,-1,5,4,22,16
2,40,4,35,1,-1,5,10,22,22
1,40,2,52,1,-1,4,2,10,4
2,42,2,54,1,-1,4,9,14,21
2,42,2,23,1,-1,4,3,14,13
1,40,1,51,1,-1,9,9,36,21
2,39,1,19,1,-1,10,3,42,15
2,34,1,41,1,-1,9,3,38,14
1,39,1,32,1,-1,3,7,4,19
2,41,1,59,1,-1,10,2,42,10
1,43,1,30,1,-1,8,1,32,1
1,40,1,27,1,-1,11,10,44,22
1,44,1,44,1,-1,9,2,36,3
