peeduca,ptdtrace,prtage,pemlr,prunedur,prmjind1,prmjocc1,prdtind1,prdtocc1
43,1,38,1,-1,8,4,34,16
43,1,48,1,-1,8,1,32,2
40,1,52,1,-1,10,3,42,11
43,1,47,1,-1,12,3,48,15
43,1,55,1,-1,3,7,4,19
39,1,23,1,-1,8,7,34,19
39,1,33,1,-1,3,7,4,19
42,1,56,1,-1,3,7,4,19
39,1,31,1,-1,9,10,39,22
43,1,29,1,-1,9,2,36,3
39,1,39,1,-1,8,1,33,1
45,1,52,1,-1,10,2,42,10
43,1,49,1,-1,11,1,44,1
44,1,47,1,-1,4,1,10,1
43,1,49,1,-1,10,2,41,10
39,1,42,1,-1,9,7,38,19
43,1,40,1,-1,9,3,38,14
39,4,62,1,-1,5,1,22,2
42,2,44,1,-1,10,3,42,11
39,1,28,1,-1,12,8,47,20
39,1,28,1,-1,11,4,45,16
42,2,28,1,-1,13,5,51,17
39,1,33,1,-1,6,5,23,17
32,1,60,1,-1,1,9,1,21
42,1,31,1,-1,10,2,42,10
42,1,30,1,-1,10,2,42,10
39,1,57,1,-1,3,1,4,1
39,1,57,1,-1,12,1,50,1
39,1,31,1,-1,11,3,44,15
41,1,34,1,-1,13,3,51,12
39,1,23,1,-1,5,3,22,15
39,4,39,1,-1,5,4,21,16
43,1,63,1,-1,6,10,23,22
40,1,34,1,-1,12,8,47,20
43,1,30,1,-1,8,4,33,16
31,1,55,1,-1,9,3,38,14
32,1,50,1,-1,1,6,1,18
31,1,60,1,-1,1,6,1,18
37,1,18,1,-1,9,3,38,14
33,1,17,1,-1,9,3,38,14
39,1,45,1,-1,10,8,43,20
42,4,52,1,-1,3,8,4,20
42,2,25,1,-1,10,2,41,10
44,1,49,1,-1,10,1,40,1
36,1,26,1,-1,5,4,22,16
43,2,58,1,-1,10,2,42,10
44,1,58,1,-1,10,2,40,8
39,1,49,1,-1,11,1,46,1
41,1,56,1,-1,6,5,23,17
39,1,46,1,-1,13,2,51,3
39,2,55,1,-1,5,5,22,17
39,1,71,3,2,4,9,16,21
42,1,75,1,-1,10,5,42,17
40,1,70,1,-1,12,5,49,17
39,1,55,1,-1,4,9,6,21
44,1,38,1,-1,10,2,42,10
40,1,38,1,-1,9,3,38,14
40,1,35,1,-1,4,1,6,1
37,7,28,1,-1,11,2,44,9
