pesex,peeduca,ptdtrace,prtage,pemlr,prunedur,prmjind1,prmjocc1,prdtind1,prdtocc1
1,39,1,70,1,-1,9,3,38,14
2,43,1,52,1,-1,8,2,33,10
1,39,1,57,1,-1,5,9,21,21
2,44,1,59,1,-1,5,10,22,22
2,43,1,62,2,-1,8,4,34,16
2,40,1,56,1,-1,6,10,23,22
2,40,8,19,1,-1,10,5,40,17
2,39,1,50,1,-1,11,10,46,22
1,39,1,70,1,-1,6,5,23,17
1,44,1,51,1,-1,3,4,4,16
2,45,1,51,1,-1,4,4,5,16
2,43,1,25,1,-1,3,4,4,16
1,43,1,25,1,-1,3,1,4,1
2,44,1,52,1,-1,11,3,44,15
1,45,1,56,1,-1,9,4,36,16
1,38,1,21,1,-1,5,4,21,16
2,38,1,40,1,-1,5,4,22,16
2,43,1,26,1,-1,10,8,40,20
1,43,1,34,1,-1,10,2,40,8
1,39,1,77,1,-1,7,8,29,20
1,43,1,34,1,-1,9,1,36,2
2,43,1,33,1,-1,13,3,51,12
1,43,1,45,1,-1,9,1,36,2
1,43,1,74,1,-1,9,1,36,2
1,43,1,48,1,-1,9,2,36,4
2,44,1,53,1,-1,9,2,36,7
1,39,1,77,4,22,9,3,38,12
2,35,1,39,1,-1,11,3,45,14
2,39,1,51,1,-1,12,3,48,15
2,39,1,31,1,-1,11,3,46,13
1,41,1,41,1,-1,11,3,46,13
2,42,1,30,1,-1,11,3,46,13
1,39,1,32,1,-1,3,7,4,19
2,42,1,26,1,-1,11,3,46,13
1,39,1,26,1,-1,11,3,46,13
2,39,1,60,1,-1,11,3,46,13
1,39,1,61,1,-1,3,7,4,19
1,38,1,79,1,-1,5,4,22,16
2,43,1,55,4,13,5,5,22,17
1,43,1,69,1,-1,5,4,22,16
2,43,1,67,1,-1,5,4,22,16
1,43,1,30,3,4,8,3,35,13
1,41,1,30,1,-1,5,4,22,16
1,43,1,27,1,-1,4,9,11,21
2,43,1,60,1,-1,9,3,38,14
1,43,1,73,4,10,6,5,23,17
1,39,2,53,1,-1,13,9,51,21
2,39,2,46,1,-1,13,5,51,17
1,43,1,46,1,-1,9,2,36,3
1,39,1,30,1,-1,8,3,34,15
1,39,1,34,1,-1,11,3,44,15
2,39,1,35,4,4,5,4,22,16
1,43,1,67,1,-1,3,5,4,17
1,44,2,52,1,-1,13,1,51,1
1,40,2,22,4,31,4,10,17,22
2,42,1,28,1,-1,10,2,42,10
1,39,2,48,1,-1,6,10,23,22
2,39,2,48,1,-1,10,3,42,11
1,40,2,35,1,-1,10,2,42,10
2,43,1,48,1,-1,10,3,42,11
1,44,1,59,1,-1,9,1,36,2
1,41,1,38,1,-1,5,4,22,16
1,40,1,19,1,-1,5,2,22,3
1,39,1,49,1,-1,5,4,22,16
2,39,1,47,1,-1,9,3,38,14
2,43,1,53,1,-1,3,3,4,15
2,44,1,71,2,-1,10,9,42,21
1,39,2,64,1,-1,9,8,38,20
1,43,1,59,1,-1,8,4,34,16
2,44,1,51,1,-1,10,2,42,10
2,37,1,17,1,-1,12,5,48,17
