pesex,peeduca,ptdtrace,prtage,pemlr,prunedur,prmjind1,prmjocc1,prdtind1,prdtocc1,gtcbsa
1,34,1,73,1,-1,3,7,4,19,0
2,39,1,71,1,-1,10,2,42,6,0
1,46,1,49,1,-1,10,1,40,1,30460
2,44,1,75,1,-1,10,5,42,17,31140
2,44,1,48,2,-1,10,2,40,8,0
1,44,1,46,1,-1,8,1,32,1,0
2,40,1,20,1,-1,5,2,22,10,0
2,39,1,18,1,-1,11,3,46,13,0
1,39,1,18,1,-1,11,3,46,13,0
2,39,1,64,1,-1,12,3,50,11,0
1,35,1,25,4,7,11,3,46,13,0
2,41,1,43,1,-1,13,3,51,12,0
1,43,1,22,1,-1,3,7,4,19,0
2,43,1,53,1,-1,8,5,34,17,0
1,41,1,47,1,-1,4,8,14,20,0
1,43,1,25,1,-1,5,10,22,22,0
1,39,1,57,1,-1,4,10,7,22,0
2,39,1,28,1,-1,5,10,22,22,0
2,39,1,71,1,-1,12,3,48,15,0
2,42,1,70,1,-1,8,4,33,16,0
1,42,1,42,1,-1,3,7,4,19,0
2,42,1,35,1,-1,10,2,40,8,0
1,40,1,55,1,-1,4,9,6,21,0
1,43,1,48,1,-1,4,9,19,21,35380
2,43,1,43,1,-1,4,5,19,17,35380
2,42,2,51,1,-1,10,3,43,11,29180
1,39,2,24,1,-1,5,4,22,16,29180
1,43,1,67,1,-1,6,2,24,3,43340
2,40,1,70,1,-1,10,2,40,8,43340
2,39,2,22,1,-1,9,3,38,14,0
2,41,2,33,1,-1,10,3,41,11,29180
2,42,1,47,1,-1,7,5,29,17,0
1,39,1,53,1,-1,10,3,40,14,0
1,39,1,22,1,-1,5,9,22,21,0
2,42,2,61,1,-1,10,3,42,11,12940
2,39,1,52,1,-1,12,3,50,14,0
1,32,1,71,1,-1,3,7,4,19,0
1,40,1,18,1,-1,9,3,38,14,0
1,43,1,70,1,-1,4,8,11,20,0
2,39,1,23,1,-1,10,3,42,11,0
2,39,1,23,1,-1,5,4,22,16,0
2,39,1,40,1,-1,11,3,46,13,0
1,38,1,48,1,-1,5,4,22,16,0
1,43,1,53,1,-1,3,1,4,2,35380
2,42,1,53,1,-1,8,5,33,17,35380
