peeduca,ptdtrace,prtage,pemlr,prunedur,prmjind1,prmjocc1,prdtind1,prdtocc1
39,1,67,1,-1,3,7,4,19
35,1,25,4,4,9,10,39,22
39,1,22,4,3,5,7,21,19
40,1,62,1,-1,10,2,40,10
39,1,30,1,-1,6,10,24,22
43,1,64,1,-1,1,1,1,1
43,1,62,1,-1,10,2,40,8
40,1,23,1,-1,4,7,5,19
42,1,46,1,-1,3,5,4,17
39,1,41,1,-1,1,1,1,1
39,1,40,1,-1,4,5,5,17
36,2,27,4,2,11,3,46,13
36,1,29,1,-1,9,3,38,14
40,1,28,1,-1,10,3,42,11
39,1,28,1,-1,8,1,32,1
39,1,28,1,-1,12,9,47,21
40,2,39,2,-1,9,5,38,17
43,2,67,1,-1,10,2,42,10
40,1,35,1,-1,4,2,13,9
43,1,54,1,-1,8,5,32,17
33,1,30,1,-1,3,7,4,19
45,2,32,1,-1,10,2,41,10
46,1,29,1,-1,10,2,42,10
39,1,26,1,-1,3,7,4,19
41,2,53,1,-1,5,4,22,16
45,1,65,1,-1,1,1,1,1
40,1,52,1,-1,13,3,51,12
37,1,17,4,4,4,4,14,16
43,1,47,1,-1,10,2,40,8
41,1,47,1,-1,5,8,22,20
39,1,67,1,-1,10,3,42,14
43,1,74,2,-1,12,2,49,6
40,2,45,1,-1,10,2,42,10
39,2,44,1,-1,10,3,42,13
40,1,67,1,-1,11,5,45,17
44,1,34,1,-1,9,2,36,4
45,1,36,1,-1,10,2,42,10
44,1,37,1,-1,10,2,42,10
46,1,32,1,-1,10,2,40,8
44,1,38,1,-1,10,3,42,12
43,1,42,1,-1,8,1,32,1
43,1,44,2,-1,4,1,14,1
40,1,70,1,-1,11,3,46,13
43,1,43,1,-1,10,1,42,1
35,1,46,1,-1,1,8,1,20
40,1,51,4,104,5,4,22,16
42,1,44,1,-1,8,5,32,17
39,1,21,1,-1,10,2,42,10
39,1,70,1,-1,13,5,51,17
39,1,66,1,-1,5,4,22,16
43,1,63,1,-1,9,7,38,19
43,1,44,1,-1,10,2,43,6
40,1,48,1,-1,6,10,23,22
44,1,46,1,-1,12,3,48,11
35,1,16,1,-1,5,4,22,16
39,1,37,1,-1,13,1,51,2
40,2,51,1,-1,10,5,42,17
44,2,52,1,-1,4,2,10,3
39,2,53,1,-1,10,1,40,1
40,2,37,1,-1,5,10,22,22
41,1,36,1,-1,5,8,22,20
40,1,37,1,-1,10,2,40,8
39,1,61,1,-1,3,7,4,19
42,1,37,1,-1,12,1,49,2
41,1,34,1,-1,13,5,51,17
41,1,46,1,-1,9,2,36,3
39,2,44,1,-1,9,3,38,14
37,2,16,1,-1,9,3,38,14
43,2,53,1,-1,10,2,42,10
43,2,52,1,-1,6,1,23,1
40,1,30,1,-1,10,2,40,8
44,4,49,1,-1,13,1,51,1
44,1,46,1,-1,10,2,41,6
43,1,26,7,-1,5,1,22,1
46,1,41,2,-1,10,2,40,8
39,1,69,1,-1,8,1,33,1
46,4,38,1,-1,9,2,36,5
43,4,31,1,-1,9,2,36,5
40,2,61,1,-1,6,10,23,22
45,2,61,1,-1,10,2,42,10
44,1,58,1,-1,10,2,40,8
43,1,66,1,-1,13,2,51,10
41,4,50,1,-1,9,3,38,14
44,1,52,1,-1,8,2,32,5
