pesex,peeduca,prtage,pemlr,prunedur,prmjind1,prmjocc1,prdtind1,prdtocc1
2,39,59,1,-1,8,5,32,17
2,44,27,1,-1,8,1,32,1
2,42,47,1,-1,10,2,40,8
1,39,32,1,-1,3,7,4,19
1,43,69,1,-1,5,4,22,16
2,43,76,1,-1,9,1,36,2
2,39,49,7,-1,1,6,1,18
1,39,50,1,-1,1,6,1,18
1,35,30,1,-1,12,3,48,15
1,46,70,1,-1,9,2,36,7
2,39,68,1,-1,10,1,41,1
2,41,37,1,-1,10,2,42,10
2,41,63,1,-1,10,2,42,10
1,39,76,1,-1,11,10,46,22
1,39,69,1,-1,6,10,23,22
1,32,37,1,-1,9,3,38,14
1,39,70,1,-1,9,3,38,14
2,44,58,1,-1,5,10,22,22
1,39,48,1,-1,8,4,35,16
2,43,47,1,-1,10,1,40,1
2,39,49,1,-1,10,2,40,8
2,43,49,1,-1,9,4,36,16
1,43,70,1,-1,6,5,23,17
1,39,41,1,-1,4,5,14,17
2,43,36,1,-1,5,1,21,2
1,43,35,1,-1,10,5,42,17
1,39,44,1,-1,5,1,22,1
1,40,52,1,-1,11,2,45,4
2,44,54,1,-1,13,1,51,1
1,43,41,1,-1,9,2,36,3
2,43,42,1,-1,9,1,36,1
1,40,38,1,-1,6,1,23,1
1,39,49,1,-1,5,3,22,13
1,39,28,1,-1,6,10,23,22
2,40,23,1,-1,11,3,46,13
1,39,19,1,-1,11,3,46,13
1,38,52,1,-1,3,7,4,19
2,43,50,1,-1,10,2,40,8
2,39,52,1,-1,11,1,46,1
1,39,38,1,-1,9,3,38,14
2,43,64,1,-1,6,2,24,4
2,43,31,1,-1,9,1,36,1
2,42,26,1,-1,10,2,40,6
2,43,36,1,-1,11,2,44,10
1,43,42,1,-1,4,1,10,2
1,43,62,1,-1,11,5,44,17
2,40,27,1,-1,5,4,22,16
2,40,55,1,-1,12,4,48,16
1,39,23,1,-1,5,8,22,20
2,40,40,1,-1,8,1,33,1
2,39,60,1,-1,8,1,34,1
1,39,63,1,-1,12,10,47,22
2,44,54,1,-1,13,1,51,1
1,39,50,1,-1,5,10,22,22
2,39,51,1,-1,9,3,38,14
2,44,43,1,-1,10,2,40,8
1,43,72,1,-1,5,2,22,10
1,44,33,1,-1,9,2,36,9
1,34,31,1,-1,3,7,4,19
1,43,53,1,-1,5,1,21,2
2,42,52,1,-1,10,2,41,10
2,36,39,1,-1,3,7,4,19
2,39,39,2,-1,8,4,34,16
1,39,31,1,-1,6,5,23,17
1,32,59,1,-1,1,9,1,21
1,40,38,1,-1,3,1,4,2
2,43,39,2,-1,11,7,44,19
1,43,24,1,-1,13,2,51,5
1,43,55,1,-1,3,1,4,1
2,43,56,1,-1,12,1,48,1
1,40,31,1,-1,11,3,44,15
1,41,33,1,-1,13,3,51,12
2,36,75,1,-1,5,3,22,13
1,39,32,1,-1,10,2,42,10
2,39,30,1,-1,10,5,42,17
1,39,57,1,-1,5,10,21,22
2,39,31,1,-1,8,4,34,16
1,41,35,1,-1,4,9,6,21
1,39,22,1,-1,5,5,22,17
2,39,62,5,-1,13,5,51,17
2,39,50,1,-1,10,3,42,14
1,39,49,1,-1,9,3,38,14
1,39,25,1,-1,9,3,38,14
1,40,64,1,-1,11,1,46,1
1,39,60,2,-1,8,1,34,1
1,43,45,1,-1,10,1,40,1
2,41,40,1,-1,10,1,42,1
2,36,17,4,2,11,3,44,12
1,37,18,4,22,11,3,46,13
2,42,22,1,-1,8,4,33,16
2,42,22,1,-1,5,3,22,13
1,36,25,1,-1,3,7,4,19
2,37,26,1,-1,9,3,38,14
1,39,58,1,-1,3,7,4,19
2,43,47,1,-1,10,2,42,10
1,39,21,1,-1,5,8,22,20
2,39,63,1,-1,8,1,34,2
2,39,40,1,-1,11,3,46,13
1,39,54,1,-1,9,3,38,14
1,43,44,1,-1,9,1,38,2
1,42,53,1,-1,6,10,23,22
2,43,50,1,-1,12,1,49,1
1,39,47,1,-1,3,1,4,1
2,39,50,1,-1,3,5,4,17
1,42,25,1,-1,8,4,33,16
2,40,47,1,-1,11,2,46,10
1,42,30,1,-1,6,5,23,17
2,40,63,1,-1,8,1,32,1
2,43,56,1,-1,6,10,23,22
1,42,47,1,-1,7,2,25,3
2,39,21,1,-1,10,3,41,11
1,39,53,1,-1,11,3,44,12
1,39,52,1,-1,10,2,42,6
1,40,74,1,-1,8,4,34,16
1,44,51,1,-1,13,1,51,2
2,45,44,1,-1,10,2,41,10
2,40,56,1,-1,5,4,22,16
2,39,61,1,-1,11,3,46,13
2,44,47,1,-1,9,3,36,12
1,40,29,1,-1,9,2,36,3
2,43,47,1,-1,9,1,36,2
1,43,64,1,-1,5,4,22,16
2,40,41,1,-1,13,5,51,17
1,42,42,1,-1,8,4,33,16
2,41,33,1,-1,13,1,51,2
1,39,49,1,-1,1,10,1,22
1,39,21,1,-1,6,10,23,22
2,39,65,1,-1,10,10,40,22
2,39,32,1,-1,10,2,40,8
1,35,69,1,-1,12,8,47,20
2,43,45,1,-1,12,3,48,11
1,40,42,1,-1,5,10,21,22
1,33,33,1,-1,3,7,4,19
1,39,67,1,-1,3,7,4,19
1,39,78,1,-1,6,10,23,22
2,39,68,1,-1,4,10,10,22
2,40,52,1,-1,10,3,42,11
1,40,35,1,-1,6,10,23,22
2,43,41,1,-1,8,5,33,17
1,43,35,1,-1,5,4,22,16
2,43,33,1,-1,4,5,6,17
1,43,32,1,-1,8,2,33,3
2,44,32,1,-1,5,2,22,3
2,43,40,1,-1,7,1,29,1
1,41,46,1,-1,4,8,17,20
1,39,20,1,-1,5,4,22,16
2,40,32,1,-1,5,5,22,17
1,39,29,1,-1,5,8,22,20
2,44,46,1,-1,9,2,36,3
2,39,64,1,-1,8,5,32,17
1,43,26,1,-1,11,3,44,15
2,45,46,1,-1,10,2,40,8
1,45,47,1,-1,10,2,40,8
2,46,51,1,-1,10,1,40,1
1,39,28,1,-1,11,1,46,1
2,44,42,1,-1,10,1,42,1
1,43,37,1,-1,6,10,23,22
1,39,27,1,-1,3,7,4,19
2,39,28,1,-1,5,10,22,22
1,39,25,1,-1,3,7,4,19
1,43,28,1,-1,5,10,21,22
2,43,36,1,-1,4,1,6,1
2,43,60,1,-1,9,1,38,2
2,43,56,1,-1,9,2,36,3
1,40,59,1,-1,9,2,36,4
1,39,34,1,-1,4,9,6,21
2,40,49,1,-1,5,10,22,22
1,40,33,1,-1,9,2,36,3
2,42,41,1,-1,11,3,46,13
2,46,43,1,-1,13,2,51,5
2,43,61,1,-1,10,2,42,10
1,40,29,1,-1,8,5,32,17
1,40,28,1,-1,11,10,46,22
2,39,21,1,-1,10,3,43,11
1,39,21,1,-1,5,10,22,22
1,43,44,1,-1,9,2,36,3
1,40,50,1,-1,5,4,22,16
2,43,51,1,-1,7,2,29,3
1,43,58,1,-1,5,4,22,16
1,46,60,1,-1,10,2,40,8
2,44,55,1,-1,10,2,41,10
1,43,24,1,-1,7,9,30,21
1,43,43,1,-1,8,1,33,2
2,44,40,1,-1,10,2,40,8
2,43,51,1,-1,9,1,36,1
1,43,24,1,-1,4,2,10,3
2,43,38,1,-1,9,4,36,16
1,43,41,1,-1,6,10,23,22
1,44,43,1,-1,8,1,32,1
2,44,39,1,-1,7,1,30,1
2,44,56,1,-1,10,2,42,9
1,43,58,1,-1,8,1,33,2
2,39,59,1,-1,5,5,21,17
1,39,61,1,-1,4,9,12,21
1,43,42,1,-1,4,9,20,21
2,43,42,1,-1,10,2,41,10
1,40,56,1,-1,5,4,22,16
2,40,61,1,-1,13,5,51,17
2,45,66,1,-1,9,2,36,10
1,43,64,1,-1,8,1,32,2
2,40,28,1,-1,10,2,43,8
2,43,26,1,-1,10,3,42,11
2,39,76,1,-1,10,3,42,11
1,43,36,1,-1,5,4,22,16
1,43,35,1,-1,9,2,36,3
2,43,40,1,-1,12,2,49,8
1,39,47,1,-1,8,1,32,1
2,39,50,1,-1,10,2,43,8
1,40,62,1,-1,11,4,44,16
1,35,53,1,-1,12,9,47,21
